stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0.5,5.0,12.013614499941468,,11.999316199915484,12.013614499941468,12.51332369982265,12.51332369982265,12.51332369982265,12.813944999827072,13.14931849995628,right,5.0,0,0,0.6282925000414252,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
11,0.5,5.5,13.16391779994592,,13.149513099808246,13.16391779994592,13.664938599802554,13.664938599802554,13.664938599802554,13.981002599932253,14.266342599876225,left,-5.5,0,0,0.5940010999329388,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
12,0.5,6.0,14.280856899917126,,14.266546699916944,14.280856899917126,14.78047649981454,14.78047649981454,14.78047649981454,15.080568399978802,15.464867200003937,left,-6.0,1,1,0.6793468999676406,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
13,0.5,6.0,15.479683399898931,,15.465005999896675,15.479683399898931,15.980996300000697,15.980996300000697,15.980996300000697,16.280605899868533,16.43381839990616,left,-6.0,1,1,0.44796029990538955,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
14,0.5,6.0,16.447196000022814,,16.433989099925384,16.447196000022814,16.947413499932736,16.947413499932736,16.947413499932736,17.24705829983577,17.400951399933547,left,-6.0,1,1,0.4508562998380512,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
15,0.5,5.5,17.413359999889508,,17.401135799940675,17.413359999889508,17.914391399826854,17.914391399826854,17.914391399826854,18.21368799987249,18.43283739988692,right,5.5,1,1,0.5099291999358684,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
16,0.5,5.5,18.44743729988113,,18.433022300014272,18.44743729988113,18.93045929982327,18.93045929982327,18.947204599855468,19.23070459999144,19.416610199958086,right,5.5,1,1,0.4717564000748098,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
17,0.5,5.5,19.430272299796343,,19.416793199954554,19.430272299796343,19.931064900010824,19.931064900010824,19.931064900010824,20.230511899804696,20.699384299805388,left,-5.5,1,1,0.7533740000799298,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
18,0.5,5.0,20.713512799935415,,20.699559999862686,20.713512799935415,21.21418879996054,21.21418879996054,21.21418879996054,21.514873099979013,21.782072299858555,left,-5.0,1,1,0.5590433001052588,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
19,0.5,5.0,21.796966899884865,,21.782273999881,21.796966899884865,22.296603199793026,22.296603199793026,22.296603199793026,22.59690579981543,23.100232899887487,right,5.0,1,1,0.7990498000290245,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
20,0.5,5.0,23.11385570000857,,23.100414499873295,23.11385570000857,23.61359059996903,23.61359059996903,23.61359059996903,23.914061499992386,24.115805899957195,right,5.0,1,1,0.4911070999223739,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
21,0.5,4.5,24.130707199918106,,24.116021199850366,24.130707199918106,24.630717399995774,24.630717399995774,24.630717399995774,24.930535999825224,25.215823599835858,right,4.5,1,1,0.5771195001434535,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
22,0.5,4.5,25.23048679996282,,25.21600060001947,25.23048679996282,25.729876699857414,25.729876699857414,25.729876699857414,26.0303565999493,26.514179799938574,left,-4.5,1,1,0.7779146998655051,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
23,0.5,4.5,26.530896599870175,,26.514283099910244,26.530896599870175,27.028717399807647,27.028717399807647,27.045083099976182,27.32894349982962,27.479977399809286,right,4.5,1,1,0.4404495998751372,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
24,0.5,4.0,27.49524619989097,,27.480079900007695,27.49524619989097,27.979419599985704,27.979419599985704,27.995521599892527,28.279613699996844,28.646985800005496,right,4.0,1,1,0.6580610999371856,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
